date,units_sold,unit_price,cost,daily_revenue,product_type,style,customer_segment,channel,ad_spend
2023-06-21 00:00:00,17,83.31,55.37,1416.27,Dress,Sport,Budget,In-store,7.1
2023-12-02 00:00:00,18,140.81,86.13,2534.58,Pants,Casual,Premium,In-store,9.28
2024-07-15 00:00:00,8,71.02,36.13,568.16,Dress,Sport,Budget,Online,13.65
2023-11-24 00:00:00,12,17.49,10.04,209.88,Jacket,Formal,Mid,Online,60.09
2024-03-12 00:00:00,3,126.82,107.68,380.46,Pants,Casual,Premium,In-store,95.23
2024-09-21 00:00:00,16,78.48,58.78,1255.68,Pants,Sport,Mid,Online,36.86
2024-04-13 00:00:00,18,113.83,80.55,2048.94,Jacket,Formal,Premium,In-store,83.71
2024-11-26 00:00:00,1,60.25,45.96,60.25,Dress,Sport,Mid,Online,73.09
2023-04-29 00:00:00,18,75.74,32.62,1363.32,Dress,Formal,Premium,In-store,70.2
2023-11-04 00:00:00,12,148.87,114.79,1786.44,Shirt,Sport,Premium,In-store,52.44
2023-06-24 00:00:00,17,62.07,48.1,1055.19,Dress,Casual,Premium,Online,58.17
2023-09-29 00:00:00,17,141.8,76.94,2410.6,Shirt,Sport,Budget,Online,56.76
2023-10-27 00:00:00,11,111.61,90.34,1227.71,Shirt,Casual,Premium,In-store,9.61
2024-08-12 00:00:00,19,69.72,51.72,1324.68,Pants,Formal,Mid,In-store,14.02
2023-06-29 00:00:00,20,116.28,78.31,2325.6,Shirt,Casual,Budget,Online,11.82
2023-06-09 00:00:00,16,137.09,82.6,2193.44,Jacket,Casual,Mid,Online,95.36
2024-04-30 00:00:00,2,92.18,76.26,184.36,Jacket,Formal,Mid,In-store,75.89
2023-01-14 00:00:00,9,123.24,100.17,1109.16,Shirt,Formal,Budget,In-store,89.65
2024-11-12 00:00:00,13,30.62,21.92,398.06,Shirt,Formal,Mid,In-store,27.04
2023-11-01 00:00:00,20,118,80.27,2360,Jacket,Formal,Budget,Online,27.73
2023-04-17 00:00:00,3,32.75,17.15,98.25,Dress,Sport,Premium,Online,69.51
2023-10-20 00:00:00,18,85.83,44.24,1544.94,Jacket,Casual,Premium,Online,53.71
2023-03-13 00:00:00,11,92.36,65.8,1015.96,Jacket,Sport,Mid,Online,23.03
2023-09-11 00:00:00,8,138.97,73.04,1111.76,Pants,Formal,Mid,Online,53.12
2023-02-04 00:00:00,10,23.07,10.34,230.7,Pants,Casual,Budget,In-store,56.7
2024-01-31 00:00:00,9,137.65,99.92,1238.85,Pants,Casual,Mid,Online,69.59
2024-12-21 00:00:00,19,121.74,61.11,2313.06,Pants,Casual,Mid,In-store,94.95
2023-12-13 00:00:00,19,47.9,31.15,910.1,Pants,Casual,Premium,In-store,27.81
2023-06-02 00:00:00,14,81.92,32.98,1146.88,Shirt,Formal,Budget,In-store,69.87
2024-10-16 00:00:00,10,135.57,103.73,1355.7,Dress,Casual,Mid,In-store,23.2
2024-02-05 00:00:00,12,28.24,22.46,338.88,Jacket,Sport,Premium,In-store,34.37
2024-08-05 00:00:00,17,22.01,9.54,374.17,Jacket,Casual,Budget,In-store,42.48
2024-01-14 00:00:00,20,78.42,37.77,1568.4,Pants,Sport,Mid,In-store,27.05
2023-10-27 00:00:00,1,6.55,4.27,6.55,Dress,Formal,Mid,Online,63.01
2023-04-30 00:00:00,16,31.97,18.48,511.52,Pants,Formal,Premium,In-store,53.64
2024-01-04 00:00:00,16,74.77,60.8,1196.32,Pants,Formal,Mid,Online,83.56
2024-03-18 00:00:00,15,42.73,35.03,640.95,Dress,Sport,Budget,In-store,27.54
2023-02-04 00:00:00,4,117.72,92.12,470.88,Shirt,Formal,Mid,Online,98.57
2024-05-04 00:00:00,16,106.02,65.47,1696.32,Shirt,Formal,Budget,In-store,41.19
2023-12-15 00:00:00,4,103.42,78.6,413.68,Shirt,Sport,Mid,Online,40.66
2023-05-18 00:00:00,3,67.64,35.46,202.92,Dress,Sport,Premium,Online,19.27
2023-11-05 00:00:00,11,12.31,8.84,135.41,Jacket,Sport,Budget,Online,48.23
2023-02-17 00:00:00,7,76.72,63.41,537.04,Dress,Formal,Budget,In-store,87.06
2024-11-01 00:00:00,11,144.68,79.08,1591.48,Dress,Formal,Mid,Online,10.6
2024-11-10 00:00:00,7,85.11,47,595.77,Shirt,Formal,Premium,In-store,36.62
2023-02-26 00:00:00,5,83.62,44.83,418.1,Pants,Sport,Mid,Online,71.2
2023-05-09 00:00:00,4,25.62,11.73,102.48,Jacket,Formal,Budget,Online,37.03
2024-03-09 00:00:00,12,34.3,14.66,411.6,Jacket,Formal,Mid,Online,24.47
2024-01-14 00:00:00,12,125.22,92.79,1502.64,Dress,Casual,Premium,In-store,48.11
2024-08-27 00:00:00,4,111.59,78.04,446.36,Jacket,Sport,Mid,Online,61.78
2024-01-15 00:00:00,2,121.76,99.83,243.52,Dress,Casual,Premium,Online,59.4
2023-02-07 00:00:00,5,68.29,40.06,341.45,Pants,Sport,Budget,Online,21.84
2024-04-22 00:00:00,11,21.49,9.98,236.39,Shirt,Formal,Mid,Online,65.42
2023-05-28 00:00:00,15,46.59,35.61,698.85,Shirt,Casual,Budget,Online,74.57
2023-10-31 00:00:00,10,19,7.83,190,Jacket,Formal,Mid,Online,68.54
2024-06-28 00:00:00,9,131.85,69.97,1186.65,Dress,Casual,Budget,In-store,92.05
2023-07-04 00:00:00,7,92.64,54.43,648.48,Shirt,Formal,Budget,Online,96.42
2024-03-24 00:00:00,11,5.49,3.12,60.39,Dress,Sport,Premium,In-store,67.07
2024-12-16 00:00:00,19,73.44,32.78,1395.36,Pants,Sport,Premium,Online,21.53
2024-08-30 00:00:00,16,127.31,100.8,2036.96,Shirt,Casual,Mid,In-store,70.3
2024-09-02 00:00:00,19,73.24,49.71,1391.56,Jacket,Casual,Budget,In-store,85.68
2023-06-26 00:00:00,1,51.96,37.78,51.96,Jacket,Formal,Mid,In-store,36.09
2024-01-11 00:00:00,6,105.32,88.99,631.92,Pants,Casual,Premium,Online,42.76
2024-07-25 00:00:00,13,71.23,31.54,925.99,Pants,Casual,Mid,Online,88.15
2023-04-24 00:00:00,4,84.22,53.14,336.88,Pants,Formal,Budget,In-store,39.8
2023-10-24 00:00:00,17,68.58,29.73,1165.86,Jacket,Formal,Budget,Online,11.12
2023-03-29 00:00:00,10,10.76,6.23,107.6,Pants,Sport,Budget,In-store,93.99
2023-10-02 00:00:00,20,70.69,58.89,1413.8,Dress,Sport,Mid,Online,91.12
2024-03-26 00:00:00,3,54.18,35.94,162.54,Shirt,Casual,Mid,In-store,5.36
2023-10-03 00:00:00,19,109.95,76.46,2089.05,Jacket,Formal,Budget,Online,66.9
2023-05-01 00:00:00,12,36.96,25.14,443.52,Jacket,Casual,Premium,Online,69.52
2023-08-08 00:00:00,10,46.74,19.66,467.4,Dress,Sport,Premium,Online,40.89
2024-08-25 00:00:00,6,43.48,22.14,260.88,Pants,Formal,Premium,Online,89.38
2024-08-26 00:00:00,4,26.43,13.76,105.72,Pants,Casual,Mid,In-store,53.46
2024-06-21 00:00:00,14,20.29,14.75,284.06,Dress,Sport,Mid,In-store,35.94
2024-12-10 00:00:00,14,97.19,66.47,1360.66,Pants,Formal,Budget,Online,39.46
2023-11-03 00:00:00,10,107.29,73.01,1072.9,Shirt,Casual,Mid,Online,93
2023-04-17 00:00:00,18,46.36,19.96,834.48,Dress,Sport,Premium,Online,22.87
2023-09-30 00:00:00,11,98.21,52.92,1080.31,Jacket,Formal,Mid,Online,89.83
2023-06-11 00:00:00,1,78.34,34.14,78.34,Jacket,Casual,Budget,Online,98.57
2024-11-26 00:00:00,16,142.18,72.56,2274.88,Dress,Sport,Premium,In-store,69.18
2024-12-01 00:00:00,18,52.66,25.41,947.88,Dress,Sport,Budget,In-store,94.11
2024-10-11 00:00:00,1,69.33,51.04,69.33,Jacket,Sport,Budget,Online,28.27
2023-07-06 00:00:00,6,110.98,86.04,665.88,Jacket,Casual,Budget,In-store,55.57
2024-01-09 00:00:00,17,16.6,9.49,282.2,Pants,Formal,Mid,Online,87.13
2024-03-28 00:00:00,4,139.78,73.24,559.12,Jacket,Formal,Mid,Online,70.97
2023-11-28 00:00:00,12,65.67,55.8,788.04,Dress,Casual,Budget,Online,87.92
2023-10-14 00:00:00,12,43.36,25.75,520.32,Dress,Sport,Mid,Online,34.81
2023-06-17 00:00:00,13,114.57,48.21,1489.41,Pants,Sport,Budget,In-store,82.64
2024-08-10 00:00:00,13,81.78,58.9,1063.14,Pants,Formal,Premium,Online,63.48
2024-02-28 00:00:00,18,107.36,60.28,1932.48,Shirt,Formal,Premium,Online,53.61
2024-02-01 00:00:00,7,74.23,43.84,519.61,Jacket,Sport,Premium,In-store,58.78
2023-06-05 00:00:00,9,30.61,17.23,275.49,Jacket,Formal,Budget,Online,26.44
2024-11-28 00:00:00,18,31.27,16.71,562.86,Dress,Formal,Premium,Online,81
2023-09-23 00:00:00,3,7.81,3.77,23.43,Jacket,Sport,Premium,In-store,20.85
2023-06-14 00:00:00,9,22.83,16.35,205.47,Shirt,Sport,Mid,Online,98.13
2023-03-15 00:00:00,20,136.57,111.73,2731.4,Jacket,Casual,Premium,In-store,67.77
2023-05-11 00:00:00,2,142.61,58.3,285.22,Shirt,Formal,Budget,Online,58.64
2024-10-03 00:00:00,18,48.41,31.31,871.38,Dress,Sport,Mid,Online,22.08
2023-04-05 00:00:00,3,19.86,15.61,59.58,Jacket,Formal,Budget,Online,68.09
2024-08-23 00:00:00,6,45.8,25.54,274.8,Jacket,Casual,Premium,Online,17.24
2024-01-05 00:00:00,11,57.1,46.6,628.1,Shirt,Sport,Mid,Online,25.45
2024-12-04 00:00:00,20,51.71,43.36,1034.2,Jacket,Sport,Premium,Online,19.19
2024-07-11 00:00:00,15,78.46,63.62,1176.9,Pants,Casual,Premium,Online,81.52
2023-04-05 00:00:00,11,78.36,59.46,861.96,Pants,Sport,Premium,In-store,49.62
2023-10-10 00:00:00,6,143.1,109.03,858.6,Shirt,Casual,Budget,Online,50.23
2024-10-06 00:00:00,1,80.52,66.12,80.52,Pants,Casual,Budget,Online,66.02
2023-09-27 00:00:00,10,44.79,21.74,447.9,Pants,Casual,Mid,In-store,87.06
2024-02-20 00:00:00,2,42.39,27.19,84.78,Jacket,Casual,Budget,Online,98.8
2023-11-09 00:00:00,3,140.21,78.61,420.63,Dress,Formal,Premium,Online,65.18
2023-08-14 00:00:00,7,66.27,49.4,463.89,Jacket,Sport,Budget,Online,36.13
2023-02-07 00:00:00,4,113.45,53.57,453.8,Pants,Sport,Budget,Online,10.43
2023-02-13 00:00:00,9,100.27,80.31,902.43,Dress,Sport,Budget,Online,74.99
2023-10-08 00:00:00,11,130.8,106.03,1438.8,Dress,Sport,Budget,In-store,60.18
2024-02-10 00:00:00,10,8.15,4.12,81.5,Pants,Sport,Mid,In-store,30.41
2023-04-04 00:00:00,15,33.55,17.58,503.25,Jacket,Formal,Mid,Online,28.77
2023-10-01 00:00:00,5,31.88,20.28,159.4,Shirt,Formal,Premium,In-store,56.76
2023-08-04 00:00:00,15,84.62,44.22,1269.3,Jacket,Casual,Mid,In-store,89.53
2023-12-28 00:00:00,19,82.58,65.98,1569.02,Shirt,Formal,Premium,Online,29.95
2024-11-09 00:00:00,11,45.13,21.16,496.43,Pants,Sport,Mid,In-store,71.36
2024-09-28 00:00:00,4,70.59,56.12,282.36,Jacket,Sport,Budget,Online,68.32
2023-07-06 00:00:00,11,104.04,62.08,1144.44,Jacket,Sport,Budget,In-store,71.78
2024-07-10 00:00:00,20,44.8,20.95,896,Pants,Formal,Mid,Online,75.9
2024-04-28 00:00:00,19,95.41,64.02,1812.79,Shirt,Casual,Budget,Online,39.11
2023-04-15 00:00:00,5,37.98,27.54,189.9,Shirt,Sport,Mid,Online,80.45
2024-12-27 00:00:00,3,39.07,32.87,117.21,Dress,Casual,Budget,Online,59.11
2024-02-25 00:00:00,19,126.39,52.6,2401.41,Shirt,Formal,Premium,Online,35.32
2024-02-01 00:00:00,1,75.67,54.43,75.67,Pants,Sport,Mid,Online,90.33
2024-06-02 00:00:00,7,120.88,64.66,846.16,Shirt,Casual,Premium,In-store,19.36
2024-10-19 00:00:00,18,77.89,44.05,1402.02,Pants,Casual,Budget,In-store,70.41
2024-03-31 00:00:00,7,17.26,8.19,120.82,Dress,Casual,Mid,Online,70.95
2023-08-25 00:00:00,7,129.03,58.73,903.21,Dress,Sport,Mid,Online,93.79
2023-11-27 00:00:00,11,58.58,24.45,644.38,Dress,Casual,Budget,In-store,32.2
2023-03-23 00:00:00,13,123.7,60.92,1608.1,Pants,Formal,Mid,In-store,30.23
2023-11-23 00:00:00,4,129.39,107.93,517.56,Pants,Sport,Premium,Online,8.58
2023-01-22 00:00:00,11,49.01,41.33,539.11,Shirt,Sport,Budget,In-store,90.2
2024-01-02 00:00:00,3,60.81,49.05,182.43,Dress,Sport,Mid,Online,64.62
2023-12-25 00:00:00,12,90.3,53.41,1083.6,Dress,Sport,Premium,In-store,99.53
2023-08-15 00:00:00,1,5.17,3.93,5.17,Shirt,Sport,Mid,Online,31
2024-03-17 00:00:00,7,140.53,85.74,983.71,Jacket,Sport,Budget,Online,36.94
2023-03-19 00:00:00,11,88.84,69.84,977.24,Pants,Formal,Budget,Online,29.63
2023-01-11 00:00:00,11,119.9,95.01,1318.9,Shirt,Sport,Premium,Online,60.94
2023-12-09 00:00:00,9,124.85,91.34,1123.65,Dress,Formal,Mid,Online,73.16
2024-11-28 00:00:00,19,41.59,23.41,790.21,Dress,Sport,Budget,Online,50.37
2024-01-04 00:00:00,5,70.61,50.42,353.05,Dress,Sport,Budget,Online,10.49
2023-04-12 00:00:00,2,61.82,25.79,123.64,Shirt,Formal,Premium,Online,90.33
2024-11-05 00:00:00,9,134.69,62.79,1212.21,Jacket,Formal,Premium,Online,41.25
2024-03-12 00:00:00,10,116.28,71.05,1162.8,Pants,Sport,Budget,Online,33.6
2023-06-21 00:00:00,11,28.12,12.76,309.32,Dress,Casual,Premium,In-store,82.34
2023-12-30 00:00:00,6,108.83,61.39,652.98,Shirt,Casual,Premium,Online,38.23
2024-12-02 00:00:00,8,145.04,115.89,1160.32,Jacket,Formal,Mid,Online,87.94
2023-08-29 00:00:00,11,87.3,57.12,960.3,Dress,Casual,Mid,In-store,26.33
2024-08-08 00:00:00,1,76.51,35.9,76.51,Pants,Formal,Premium,Online,57.89
2023-02-15 00:00:00,20,15.63,9.99,312.6,Shirt,Sport,Budget,In-store,36.76
2024-11-22 00:00:00,4,100.9,65.05,403.6,Dress,Sport,Premium,Online,32.89
2023-07-17 00:00:00,6,66.36,40.73,398.16,Shirt,Casual,Budget,Online,73.61
2023-08-07 00:00:00,11,5.41,2.31,59.51,Pants,Formal,Budget,In-store,62.99
2023-01-27 00:00:00,14,129.8,73.82,1817.2,Pants,Formal,Budget,Online,96.29
2024-07-15 00:00:00,18,9.92,4.16,178.56,Jacket,Casual,Premium,In-store,5.92
2023-07-16 00:00:00,20,45.87,24.16,917.4,Jacket,Casual,Premium,Online,18.98
2023-03-19 00:00:00,13,63.21,36.49,821.73,Dress,Formal,Budget,Online,95.97
2024-03-26 00:00:00,6,19.89,16.33,119.34,Dress,Casual,Premium,In-store,43.52
2024-06-27 00:00:00,11,34.98,27.9,384.78,Shirt,Casual,Budget,In-store,66.05
2023-08-25 00:00:00,10,143.05,87.41,1430.5,Dress,Formal,Mid,Online,61.48
2023-07-11 00:00:00,12,99.8,72.82,1197.6,Jacket,Casual,Premium,In-store,56.23
2024-04-24 00:00:00,19,93.26,39.85,1771.94,Pants,Sport,Budget,In-store,59.15
2024-02-24 00:00:00,12,14.96,11.75,179.52,Pants,Formal,Mid,Online,62.04
2024-10-31 00:00:00,1,73.5,45.59,73.5,Pants,Sport,Premium,Online,32.94
2023-08-28 00:00:00,20,5.01,2.55,100.2,Shirt,Casual,Premium,Online,26.3
2024-10-04 00:00:00,13,132.74,58.66,1725.62,Shirt,Sport,Budget,Online,85.12
2024-05-28 00:00:00,1,72.15,53.11,72.15,Jacket,Casual,Premium,Online,94.57
2024-06-19 00:00:00,20,147.09,70.79,2941.8,Pants,Casual,Premium,Online,11.38
2024-09-19 00:00:00,9,101.68,73.3,915.12,Jacket,Formal,Budget,In-store,58.39
2023-07-02 00:00:00,15,39.84,33.39,597.6,Pants,Sport,Premium,In-store,8.71
2024-10-19 00:00:00,19,145.88,94.23,2771.72,Jacket,Formal,Premium,Online,99.91
2023-08-05 00:00:00,6,52.21,23.76,313.26,Shirt,Formal,Mid,In-store,11.92
2024-02-03 00:00:00,9,99.28,53.9,893.52,Jacket,Formal,Premium,In-store,97.78
2024-08-30 00:00:00,15,54.51,46.13,817.65,Dress,Casual,Budget,In-store,13.16
2023-05-08 00:00:00,11,65.68,40.92,722.48,Dress,Casual,Budget,Online,93.75
2023-10-11 00:00:00,20,137.16,100.05,2743.2,Shirt,Sport,Budget,Online,23.14
2024-07-14 00:00:00,3,146.65,117.52,439.95,Shirt,Casual,Mid,Online,52.61
2024-02-15 00:00:00,11,99.01,44.4,1089.11,Pants,Casual,Mid,In-store,92.39
2023-03-16 00:00:00,2,72.42,44.34,144.84,Shirt,Formal,Mid,Online,16.02
2023-08-07 00:00:00,6,61.43,28.84,368.58,Dress,Formal,Budget,Online,54.8
2024-05-07 00:00:00,1,130.01,70.19,130.01,Dress,Formal,Budget,Online,86.55
2023-09-06 00:00:00,13,16.8,10.5,218.4,Pants,Casual,Budget,In-store,79.71
2023-04-26 00:00:00,7,27.13,21.57,189.91,Dress,Formal,Premium,In-store,49.54
2024-12-27 00:00:00,6,89.07,44.08,534.42,Jacket,Formal,Mid,In-store,19.58
2023-05-27 00:00:00,20,9.32,7.48,186.4,Shirt,Casual,Budget,In-store,71.82
2023-01-20 00:00:00,1,66.72,43.8,66.72,Dress,Formal,Budget,Online,22.85
2024-04-30 00:00:00,18,140.21,90.93,2523.78,Jacket,Formal,Premium,Online,32.36
2023-10-08 00:00:00,18,134.22,89.3,2415.96,Shirt,Formal,Mid,Online,67.85
2024-05-05 00:00:00,13,69,50.4,897,Jacket,Formal,Budget,In-store,77.43
2023-03-29 00:00:00,3,41.09,33.39,123.27,Dress,Sport,Mid,In-store,76.27
2023-03-08 00:00:00,19,39.73,31.15,754.87,Shirt,Formal,Premium,Online,12.54
2024-08-16 00:00:00,6,141.47,105.25,848.82,Shirt,Sport,Mid,In-store,86.28
2024-06-04 00:00:00,19,38.39,31.33,729.41,Shirt,Sport,Budget,In-store,84.19
2024-03-18 00:00:00,16,49.58,24.47,793.28,Jacket,Formal,Budget,In-store,92.55
2023-01-17 00:00:00,5,98.7,82.64,493.5,Pants,Formal,Budget,In-store,21.22
2023-11-28 00:00:00,8,94.56,56.04,756.48,Shirt,Formal,Budget,Online,99.53
2023-05-21 00:00:00,18,37.54,18.87,675.72,Pants,Sport,Premium,In-store,86.19
2024-12-20 00:00:00,19,88.27,63.78,1677.13,Dress,Casual,Mid,In-store,48.39
2024-03-21 00:00:00,14,33.74,18.17,472.36,Shirt,Formal,Premium,In-store,44.88
2023-01-19 00:00:00,16,108.54,79.73,1736.64,Shirt,Sport,Budget,In-store,22.27
2023-08-27 00:00:00,16,25.05,12.31,400.8,Jacket,Formal,Mid,Online,15.72
2024-08-31 00:00:00,19,12.1,5.08,229.9,Jacket,Sport,Budget,In-store,87.56
2024-05-14 00:00:00,10,145.7,59.59,1457,Pants,Sport,Premium,In-store,92.78
2024-08-28 00:00:00,9,103.41,48.12,930.69,Jacket,Casual,Premium,Online,72.35
2024-06-12 00:00:00,4,136.57,73.16,546.28,Jacket,Sport,Premium,In-store,54.72
2024-01-27 00:00:00,5,18.01,12.92,90.05,Jacket,Sport,Budget,In-store,8.4
2023-11-12 00:00:00,11,27.97,12.13,307.67,Dress,Formal,Budget,Online,78.19
2023-04-11 00:00:00,13,69.53,42.26,903.89,Shirt,Sport,Budget,In-store,94.19
2023-04-27 00:00:00,4,114.05,70.59,456.2,Pants,Sport,Mid,In-store,79.45
2023-01-13 00:00:00,8,11.62,6.41,92.96,Jacket,Sport,Budget,Online,48.56
2024-12-10 00:00:00,20,28.17,19.06,563.4,Dress,Formal,Premium,Online,66.17
2024-12-14 00:00:00,12,93.24,43.38,1118.88,Jacket,Sport,Mid,In-store,16.12
2024-06-05 00:00:00,1,60.39,33.48,60.39,Dress,Sport,Mid,In-store,87.43
2023-06-01 00:00:00,14,129.2,105.8,1808.8,Dress,Formal,Mid,Online,8.81
2023-04-29 00:00:00,14,110.12,51.31,1541.68,Shirt,Sport,Mid,In-store,18.03
2023-02-01 00:00:00,13,10.53,7.48,136.89,Shirt,Sport,Mid,Online,79.29
2024-07-18 00:00:00,13,45.32,25.09,589.16,Pants,Sport,Mid,In-store,61.54
2023-08-26 00:00:00,8,71.01,43.8,568.08,Jacket,Formal,Premium,In-store,82.48
2023-07-07 00:00:00,10,146.16,87.04,1461.6,Shirt,Formal,Mid,In-store,59.58
2023-05-01 00:00:00,15,43.11,25.72,646.65,Dress,Casual,Budget,Online,18.84
2023-06-02 00:00:00,2,120.63,54.52,241.26,Pants,Casual,Premium,Online,7.43
2023-01-28 00:00:00,13,84.71,53.08,1101.23,Pants,Casual,Mid,Online,29.3
2023-11-03 00:00:00,17,37.18,18.54,632.06,Jacket,Sport,Mid,Online,77.37
2023-05-05 00:00:00,11,64.33,54.53,707.63,Shirt,Sport,Mid,In-store,66.67
2024-05-29 00:00:00,8,106.74,58.44,853.92,Dress,Sport,Mid,Online,37.61
2024-06-05 00:00:00,6,129.32,59.52,775.92,Dress,Formal,Premium,In-store,23.83
2023-02-22 00:00:00,10,48.39,35.5,483.9,Jacket,Formal,Premium,Online,92.07
2024-02-14 00:00:00,20,146.05,90.28,2921,Pants,Formal,Premium,In-store,8.43
2024-05-31 00:00:00,14,56.35,43.91,788.9,Shirt,Sport,Mid,In-store,73.9
2023-11-23 00:00:00,11,14.47,6.66,159.17,Pants,Formal,Budget,In-store,60.26
2024-12-22 00:00:00,1,130.59,52.67,130.59,Jacket,Sport,Budget,Online,51.44
2024-02-29 00:00:00,14,63.87,31.52,894.18,Jacket,Casual,Budget,In-store,71.76
2024-10-13 00:00:00,5,39.27,26.27,196.35,Shirt,Sport,Mid,In-store,36.46
2023-11-06 00:00:00,19,91.45,67.42,1737.55,Dress,Formal,Budget,Online,28.61
2023-06-25 00:00:00,17,101.62,45.2,1727.54,Jacket,Formal,Premium,Online,82.79
2024-12-18 00:00:00,12,122.45,73.91,1469.4,Shirt,Casual,Mid,Online,38.22
2024-02-15 00:00:00,4,39.73,28.97,158.92,Pants,Formal,Premium,Online,39.51
2023-04-03 00:00:00,12,66.04,28.54,792.48,Dress,Formal,Budget,Online,40.99
2023-06-17 00:00:00,8,137.52,101.88,1100.16,Shirt,Casual,Budget,Online,46.81
